round 114, feat 250, thresh 0.0000, roundErr 0.5287
round 115, feat 904, thresh 0.1469, roundErr 0.4716
round 116, feat 562, thresh 0.0964, roundErr 0.5266
round 117, feat 934, thresh 0.1477, roundErr 0.4722
round 118, feat 92, thresh 0.2135, roundErr 0.5270
round 119, feat 623, thresh 0.1501, roundErr 0.4724
round 120, feat 857, thresh 0.1022, roundErr 0.5264
round 121, feat 1210, thresh 0.1450, roundErr 0.4775
round 122, feat 618, thresh 0.1431, roundErr 0.5187
round 123, feat 412, thresh 0.0610, roundErr 0.4728
round 124, feat 344, thresh 0.1003, roundErr 0.5286
round 125, feat 469, thresh 0.0000, roundErr 0.4720
round 126, feat 281, thresh 0.1275, roundErr 0.5283
round 127, feat 635, thresh 0.0560, roundErr 0.4720
round 128, feat 338, thresh 0.0000, roundErr 0.5254
round 129, feat 398, thresh 0.0000, roundErr 0.4725
round 130, feat 66, thresh 0.1145, roundErr 0.5274
round 131, feat 179, thresh 0.1884, roundErr 0.4733
round 132, feat 44, thresh 0.0830, roundErr 0.5259
round 133, feat 448, thresh 0.1277, roundErr 0.4736
round 134, feat 272, thresh 0.1577, roundErr 0.5272
round 135, feat 2, thresh 0.1232, roundErr 0.4739
round 136, feat 240, thresh 0.1370, roundErr 0.5267
round 137, feat 417, thresh 0.0634, roundErr 0.4739
round 138, feat 336, thresh 0.2616, roundErr 0.5264
round 139, feat 519, thresh 0.0903, roundErr 0.4738
round 140, feat 110, thresh 0.0000, roundErr 0.5260
round 141, feat 12, thresh 0.0000, roundErr 0.4741
round 142, feat 109, thresh 0.1687, roundErr 0.5263
round 143, feat 515, thresh 0.0000, roundErr 0.4746
round 144, feat 250, thresh 0.0000, roundErr 0.5261
round 145, feat 588, thresh 0.0000, roundErr 0.4742
round 146, feat 295, thresh 0.0000, roundErr 0.5260
round 147, feat 720, thresh 0.0600, roundErr 0.4749
round 148, feat 141, thresh 0.2559, roundErr 0.5244
round 149, feat 412, thresh 0.0610, roundErr 0.4746
round 150, feat 344, thresh 0.1003, roundErr 0.5257
round 151, feat 495, thresh 0.0000, roundErr 0.4746
round 152, feat 1032, thresh 0.2296, roundErr 0.5250
round 153, feat 401, thresh 0.0656, roundErr 0.4765
round 154, feat 281, thresh 0.1275, roundErr 0.5249
round 155, feat 471, thresh 0.0759, roundErr 0.4752
round 156, feat 760, thresh 0.0928, roundErr 0.5248
round 157, feat 176, thresh 0.0891, roundErr 0.4769
round 158, feat 100, thresh 0.2951, roundErr 0.5239
round 159, feat 389, thresh 0.2055, roundErr 0.4764
round 160, feat 630, thresh 0.0794, roundErr 0.5246
round 161, feat 1, thresh 0.0000, roundErr 0.4762
round 162, feat 338, thresh 0.0000, roundErr 0.5246
round 163, feat 414, thresh 0.0000, roundErr 0.4757
round 164, feat 232, thresh 0.2971, roundErr 0.5244
round 165, feat 785, thresh 0.0378, roundErr 0.4768
round 166, feat 262, thresh 0.0000, roundErr 0.5183
round 167, feat 382, thresh 0.0818, roundErr 0.4751
round 168, feat 758, thresh 0.0000, roundErr 0.5241
round 169, feat 515, thresh 0.0000, roundErr 0.4783
round 170, feat 305, thresh 0.0000, roundErr 0.5242
round 171, feat 469, thresh 0.0000, roundErr 0.4762
round 172, feat 71, thresh 0.1000, roundErr 0.5239
round 173, feat 407, thresh 0.0000, roundErr 0.4778
round 174, feat 250, thresh 0.0000, roundErr 0.5238
round 175, feat 388, thresh 0.0000, roundErr 0.4763
round 176, feat 923, thresh 0.2143, roundErr 0.5233
round 177, feat 398, thresh 0.0000, roundErr 0.4804
round 178, feat 249, thresh 0.1579, roundErr 0.5235
round 179, feat 422, thresh 0.0619, roundErr 0.4769
round 180, feat 562, thresh 0.0964, roundErr 0.5234
round 181, feat 448, thresh 0.1277, roundErr 0.4778
round 182, feat 579, thresh 0.0999, roundErr 0.5233
round 183, feat 181, thresh 0.0000, roundErr 0.4784
round 184, feat 143, thresh 0.0000, roundErr 0.5235
round 185, feat 480, thresh 0.2676, roundErr 0.4776
round 186, feat 158, thresh 0.0000, roundErr 0.5223
round 187, feat 23, thresh 0.0000, roundErr 0.4778
round 188, feat 894, thresh 0.2304, roundErr 0.5229
